population,reagent,Condition,median,variance
CD11b+/CD16-,Ki67,CD40L,28.53688335418701,286.0554688025116
CD7+/HLA-DR-,IkBa,IL-4,5.206277370452881,6.897364028037487
CD7+/HLA-DR-,pErk1/2,LPS,23.483928680419922,246.14889625597647
CD1c+ B cells,pTBK1,Basal,15.115352630615234,NaN
CD1c+ B cells,pTBK1,Ebola VLPs,16.27819848060608,NaN
CD4+T cells,p4E-BP1,LPS,8.959821462631226,6.363844291909112
CD4+/CD8+,pP38,Ebola VLPs,18.97498893737793,NaN
CD4+/CD8+,pErk1/2,R848,49.06497287750244,NaN
CD11b-/CD16-,pSTAT3,PMAIono,63.23162651062012,4032.0125108276584
CD8+T cells,pSTAT1,TNFa,20.181174278259277,96.3600197680768
CD8+T cells,IkBa,GM-CSF,5.511428236961365,8.473349450175922
CD16+/CD11b-,pTBK1,IFNg,13.967931985855103,114.2234896509167
CD11b+/CD16-,pSTAT3,Basal,83.47597312927246,4983.189387422179
B Cells,Ki67,IFNa2,16.872499465942383,88.66465936917827
CD1c+ B cells,pZap70/Syk,IL-2,6.974729895591736,NaN
Basophils,pCREB,IL-4,32.29624557495117,252.4276398546878
CD8+T cells,p4E-BP1,Ebola VLPs,6.95267379283905,3.570258614868449
CD8+T cells,IkBa,Anthrax,5.268970012664795,9.271715624319711
CD4+T cells,pZap70/Syk,Basal,4.649982333183289,1.7428053674367938
CD4+/CD8+,Ki67,IL-6,17.988704204559326,NaN
pDCs,pZap70/Syk,Anthrax,4.974375486373901,6.288720380342788
Neutrophils,pSTAT4,IFNb,8.00887155532837,29.54125889921709
Neutrophils,pZap70/Syk,IFNb,8.27643346786499,6.538658246057935
CD16+/CD11b-,pCREB,LPS,49.1000919342041,539.8427414827943
CD4+/CD8+,Ki67,IFNb,17.474944591522217,NaN
CD4+/CD8+,pPLCg2,PMAIono,11.07396411895752,NaN
Neutrophils,pErk1/2,IFNg,85.22479820251465,1825.9548730680247
Neutrophils,pSTAT6,IFNb,4.103642225265503,13.757930662942183
Neutrophils,pPLCg2,IFNg,6.9460331201553345,15.439663852268954
Neutrophils,IkBa,Basal,2.4005573987960815,1.3646063738582008
CD16+/CD11b-,pZap70/Syk,IFNa2,6.673915505409241,9.119956873664497
Basophils,pSTAT4,GM-CSF,9.179413795471191,23.842512566542435
CD16+/CD11b-,Ki67,CD40L,19.653072357177734,195.46409323647399
CD8+T cells,pSTAT5,IL-4,12.75188422203064,59.2976692207845
CD11b+/CD16-,IkBa,IL-4,8.345648288726807,20.249173965592064
pDCs,pS6,GM-CSF,74.41024589538574,NaN
CD16+/CD11b-,pTBK1,Basal,13.775565147399902,120.24967507431943
CD4+T cells,pSTAT4,TNFa,7.148596525192261,17.074873940413948
pDCs,pS6,LPS,64.32400798797607,969.6984058371329
pDCs,pSTAT6,LPS,8.380613327026367,50.68064642871043
CD8+T cells,pSTAT5,CD40L,11.78483271598816,57.53653250700166
CD7+/HLA-DR-,pS6,PMAIono,40.94135284423828,553.1486328690653
Neutrophils,pSTAT1,IL-2,25.628770351409912,251.4889375570703
CD8+T cells,Ki67,IL-6,13.203612565994263,73.3934003190723
CD16+/CD11b-,pP38,IL-6,20.003308296203613,147.33360759236453
CD11b-/CD16-,pTBK1,Ebola VLPs,12.562158584594727,83.30497091696725
CD7+/HLA-DR-,pP38,Basal,11.32182264328003,41.13561416600936
CD4+T cells,IkBa,IL-4,6.347405552864075,12.089087363309327
CD11b-/CD16-,pSTAT5,LPS,16.803277015686035,166.48036217430396
CD7+/HLA-DR-,pP38,IFNa2,11.181154489517212,42.91305033809219
B Cells,pS6,LPS,43.73063373565674,344.6796053500056
CD8+T cells,pSTAT5,IL-12,11.727054834365845,62.29445981439128
Neutrophils,pSTAT6,R848,3.7866016030311584,10.605072084339326
CD1c+ B cells,pP38,LPS,26.438401699066162,NaN
CD16+/CD11b-,pSTAT6,LPS,7.476889133453369,43.23654035094241
pDCs,pSTAT1,Anthrax,19.280024528503418,203.03705913078343
CD7+/HLA-DR-,p4E-BP1,GM-CSF,6.161099314689636,4.3585332089951825
CD8+T cells,pZap70/Syk,Ebola VLPs,4.379859447479248,1.5091925254885483
CD1c+ B cells,IkBa,IFNa2,11.225283145904541,NaN
Neutrophils,pSTAT6,CD40L,3.6955714225769043,11.024921637128081
CD16+/CD11b+,pCREB,IL-12,51.28768539428711,883.989426393712
CD4+/CD8+,pS6,CD40L,77.16137313842773,5337.287409691052
CD7+/HLA-DR-,pSTAT5,CD40L,10.181049823760986,53.255882430151765
Neutrophils,pErk1/2,PMAIono,101.43216705322266,2234.3317471006876
B Cells,pMAPKAPK2,TNFa,6.540178894996643,8.380630150548077
Neutrophils,pP38,IFNg,12.405014991760254,39.84156946320186
Basophils,pPLCg2,PMAIono,7.966349124908447,31.273697491979608
CD11b-/CD16-,pSTAT6,PMAIono,8.042781114578247,41.32948915770513
CD11b+/CD16-,pCREB,IL-2,50.50225830078125,657.5044173130078
CD16+/CD11b-,pPLCg2,LPS,16.361538887023926,103.87903992569879
pDCs,IkBa,IFNb,10.086781024932861,28.910309266170284
B Cells,pCREB,IL-6,19.272619247436523,78.00474794711484
pDCs,pSTAT3,R848,72.46441268920898,3277.7820834133145
CD11b+/CD16-,pCREB,GM-CSF,59.72868537902832,672.3155958922567
pDCs,pS6,IL-4,66.31049346923828,948.72199592127
CD16+/CD11b-,Ki67,IFNg,19.165419578552246,169.57598555090306
CD16+/CD11b-,pSTAT4,IFNb,12.948609352111816,72.25601652289491
Neutrophils,p4E-BP1,Anthrax,7.182384014129639,7.450634352659669
CD1c+ B cells,pSTAT5,PMAIono,20.810225248336792,NaN
pDCs,pP38,CD40L,20.99817180633545,188.8097604932017
CD11b-/CD16-,pSTAT1,CD40L,28.211816787719727,404.2005457019799
CD16+/CD11b+,pZap70/Syk,Anthrax,6.864759087562561,18.145389759360025
CD11b-/CD16-,pZap70/Syk,IFNa2,5.017886757850647,6.156548012874602
CD11b+/CD16-,pSTAT6,CD40L,7.7877113819122314,48.484200924257834
CD11b-/CD16-,pCREB,Ebola VLPs,34.702064514160156,348.9714491428211
CD11b-/CD16-,pSTAT4,TNFa,13.506996870040894,53.91814850425889
B Cells,pCREB,IFNa2,18.996451377868652,80.29466489991212
CD11b-/CD16-,pSTAT1,LPS,29.90146827697754,468.7967859924391
B Cells,IkBa,Anthrax,5.224896550178528,9.108313473535471
CD16+/CD11b+,Ki67,Basal,23.716267585754395,352.69050789228703
CD4+T cells,pS6,IL-4,46.301939964294434,448.818773541834
CD1c+ B cells,p4E-BP1,IL-4,32.56834077835083,NaN
Basophils,pTBK1,R848,11.696749687194824,75.69738735268167
pDCs,p4E-BP1,IL-4,39.34789752960205,224.33117100783784
CD4+T cells,Ki67,Basal,17.23509407043457,108.38459815658817
B Cells,pSTAT4,IFNb,8.808906555175781,18.228626382173225
CD8+T cells,pErk1/2,Anthrax,26.928289890289307,220.26589791743731
CD16+/CD11b+,pSTAT6,GM-CSF,8.416715621948242,75.73583186523341
CD16+/CD11b+,pSTAT5,LPS,21.17064905166626,437.0593560110073
CD11b+/CD16-,IkBa,Ebola VLPs,8.218992233276367,20.72277860204103
CD1c+ B cells,Ki67,IFNb,23.9520845413208,NaN
CD11b-/CD16-,pMAPKAPK2,IL-4,10.710336208343506,19.41880774986639
B Cells,pSTAT1,IFNb,14.366857051849365,34.832023934982786
Basophils,IkBa,IFNb,5.99386727809906,6.869439299357659
Neutrophils,Ki67,R848,9.94746446609497,51.28660319721895
Basophils,pSTAT5,IL-4,26.35970640182495,157.5668427208056
CD4+/CD8+,pSTAT5,IL-2,76.73088073730469,NaN
CD11b+/CD16-,pSTAT6,IL-2,7.768993854522705,45.67316704308419
B Cells,pP38,R848,19.83600950241089,98.50409888192078
CD7+/HLA-DR-,Ki67,PMAIono,11.874718427658081,53.88221151523086
CD4+T cells,pSTAT5,PMAIono,12.553404808044434,67.78220438092036
CD1c+ B cells,pSTAT6,TNFa,9.863888025283813,NaN
Basophils,pSTAT5,PMAIono,26.386417388916016,250.29742903605276
CD4+T cells,pCREB,IL-2,19.10483741760254,82.4347971116537
CD4+T cells,pSTAT5,R848,12.400099515914917,58.28801652742002
Basophils,pSTAT5,Basal,25.58601427078247,160.40644355569648
Neutrophils,pSTAT1,LPS,29.577860832214355,357.77651898677186
pDCs,pSTAT1,LPS,17.84816884994507,325.99350934067917
CD4+/CD8+,IkBa,GM-CSF,6.560683608055115,NaN
CD16+/CD11b+,pCREB,IL-6,53.679019927978516,771.0792786926586
CD4+/CD8+,pZap70/Syk,IFNb,6.064767837524414,NaN
CD7+/HLA-DR-,pSTAT1,TNFa,6.033674478530884,12.973939698973572
Neutrophils,pSTAT1,CD40L,30.332005500793457,374.04738480828047
Neutrophils,pMAPKAPK2,TNFa,11.077868700027466,21.055435528419128
pDCs,Ki67,IL-6,27.689754009246826,328.80477368851723
CD16+/CD11b+,pTBK1,TNFa,46.17456817626953,1029.8051700858052
CD7+/HLA-DR-,pS6,IL-12,41.428279876708984,564.6369926441693
CD8+T cells,pSTAT3,Basal,47.85758399963379,2486.0407943117325
CD11b+/CD16-,pPLCg2,Ebola VLPs,12.175220727920532,60.68712327246259
Neutrophils,pS6,IL-12,50.684502601623535,676.6938376174912
CD8+T cells,pErk1/2,IL-6,27.226476192474365,219.47061897820765
pDCs,pZap70/Syk,TNFa,4.789966344833374,6.921802406282773
CD4+T cells,pPLCg2,IL-6,5.611521005630493,10.421633023341522
CD16+/CD11b+,Ki67,GM-CSF,23.747092247009277,325.59928922605684
CD4+T cells,pErk1/2,IFNg,27.354936599731445,205.1211263198801
CD1c+ B cells,pSTAT1,IFNa2,23.660937309265137,NaN
CD1c+ B cells,IkBa,CD40L,8.940403461456299,NaN
CD11b-/CD16-,pSTAT4,Ebola VLPs,13.687744855880737,56.59627368456802
CD7+/HLA-DR-,pZap70/Syk,R848,4.048870801925659,4.0718564228700105
pDCs,pS6,R848,70.4058609008789,1151.6958636886525
CD1c+ B cells,IkBa,IL-2,11.266054630279541,NaN
CD4+T cells,pP38,IFNb,14.510437250137329,55.77760877614172
B Cells,IkBa,R848,4.152345657348633,5.830575572027532
CD7+/HLA-DR-,pTBK1,IFNa2,7.581419944763184,34.146833925439886
CD7+/HLA-DR-,pTBK1,Basal,7.515349268913269,32.3959844221339
CD16+/CD11b+,pCREB,LPS,59.36876583099365,1210.9807446834855
CD1c+ B cells,pTBK1,IFNg,16.604719877243042,NaN
Basophils,pS6,IFNg,48.00466537475586,494.704801909943
CD4+/CD8+,p4E-BP1,IFNg,9.825740814208984,NaN
CD4+T cells,IkBa,TNFa,3.4002206921577454,3.7724080879329382
Basophils,pSTAT6,Anthrax,6.658643007278442,25.45610273399918
CD7+/HLA-DR-,pSTAT4,GM-CSF,6.073624014854431,12.225035925849161
CD16+/CD11b-,p4E-BP1,R848,18.699851036071777,41.08425520266031
CD11b+/CD16-,pErk1/2,IL-4,74.64416694641113,1685.165711159725
CD11b+/CD16-,pErk1/2,IFNg,73.03610038757324,1604.2744296170936
Neutrophils,IkBa,IFNa2,2.3553964495658875,1.1497781462303935
CD4+T cells,pSTAT4,IL-2,7.2548298835754395,16.793317710293255
Basophils,pZap70/Syk,Basal,2.830503821372986,2.6682613461721205
CD7+/HLA-DR-,IkBa,Ebola VLPs,5.213990807533264,6.787999065955305
pDCs,IkBa,TNFa,3.60168993473053,5.645827617189653
Neutrophils,pErk1/2,IFNa2,83.10367774963379,1692.9967055530888
CD1c+ B cells,pErk1/2,IFNb,34.579501152038574,NaN
CD7+/HLA-DR-,pP38,GM-CSF,11.17673635482788,40.9731120473957
CD4+/CD8+,pSTAT4,R848,8.248744010925293,NaN
CD8+T cells,pSTAT1,GM-CSF,20.188404083251953,106.87011981876319
B Cells,pCREB,LPS,19.215035915374756,82.49800603148051
Neutrophils,pCREB,LPS,24.738746643066406,126.71921051332001
CD16+/CD11b-,pMAPKAPK2,TNFa,16.415466785430908,27.07643337390857
CD11b-/CD16-,pS6,IL-2,72.31745910644531,1438.8410534661446
CD16+/CD11b-,Ki67,Anthrax,18.988688468933105,183.32419607894226
CD1c+ B cells,pSTAT4,CD40L,9.891205787658691,NaN
CD16+/CD11b-,pSTAT3,TNFa,68.70795631408691,4457.365044481477
pDCs,pSTAT1,IFNb,44.046396255493164,657.7604681391376
CD7+/HLA-DR-,pTBK1,IL-4,7.835635185241699,36.12193049203892
CD11b-/CD16-,pSTAT1,Anthrax,27.31905746459961,385.3800918586129
B Cells,pSTAT1,IL-2,5.885917782783508,10.250878038195584
CD4+T cells,pMAPKAPK2,Anthrax,6.023028016090393,8.070430856556612
CD11b+/CD16-,p4E-BP1,Ebola VLPs,33.25589084625244,134.43990592941591
CD8+T cells,pP38,R848,14.092134952545166,48.957659617354295
CD1c+ B cells,Ki67,Basal,21.260355949401855,NaN
CD4+/CD8+,pSTAT4,TNFa,8.031911969184875,NaN
pDCs,pPLCg2,R848,10.23577332496643,31.871386106873697
CD16+/CD11b-,pP38,PMAIono,19.459353923797607,152.69393417925437
Basophils,pSTAT4,IFNb,9.756238460540771,27.266037520233517
Basophils,pZap70/Syk,IL-6,2.95577335357666,2.696368591612353
B Cells,pMAPKAPK2,IL-6,6.531493663787842,8.045711101181341
CD16+/CD11b-,pSTAT3,IL-4,65.8879566192627,4661.057102119309
pDCs,pSTAT1,IL-4,17.68376398086548,231.28059116697577
B Cells,pZap70/Syk,CD40L,4.037821054458618,3.914313591897515
CD16+/CD11b-,p4E-BP1,GM-CSF,19.911261081695557,56.74730295360579
CD11b-/CD16-,pMAPKAPK2,Basal,10.596683502197266,19.204507348291095
CD16+/CD11b-,pSTAT5,IL-2,20.156158447265625,207.75692340702477
CD1c+ B cells,pZap70/Syk,R848,6.432129383087158,NaN
CD1c+ B cells,p4E-BP1,IL-2,36.02955150604248,NaN
Neutrophils,pCREB,IFNa2,23.107407093048096,118.4230035735902
CD11b+/CD16-,pSTAT3,IFNa2,88.12157440185547,5203.467628168119
pDCs,IkBa,IL-4,10.781473398208618,30.09659203615817
CD16+/CD11b+,pSTAT5,IL-6,22.54435920715332,353.2445375576199
Basophils,pP38,IL-6,10.417447328567505,33.13191458838698
CD11b+/CD16-,pTBK1,R848,188.05541229248047,10596.961482269797
CD11b-/CD16-,pCREB,TNFa,51.39678192138672,598.7553600394153
CD16+/CD11b-,pPLCg2,IL-4,14.607837438583374,89.58706458087389
CD11b-/CD16-,pSTAT5,CD40L,16.93658685684204,153.23690689722446
B Cells,pZap70/Syk,IFNb,3.9151431918144226,3.4232899885319967
CD4+/CD8+,pSTAT3,PMAIono,94.83514595031738,NaN
CD7+/HLA-DR-,pS6,TNFa,41.88069820404053,569.7558777290772
CD7+/HLA-DR-,pSTAT6,Basal,4.989036321640015,15.127625466238554
CD1c+ B cells,IkBa,IL-6,11.753732681274414,NaN
CD11b+/CD16-,pS6,IFNg,76.11590766906738,1656.3112286262383
CD11b+/CD16-,pCREB,IFNb,50.0831413269043,603.0714372679037
CD1c+ B cells,pSTAT3,IFNa2,64.53974723815918,NaN
CD1c+ B cells,pSTAT6,Ebola VLPs,8.90490460395813,NaN
Neutrophils,pSTAT1,IFNg,33.94583797454834,326.64695594627875
Basophils,p4E-BP1,Ebola VLPs,11.516901016235352,11.295304424469382
CD8+T cells,p4E-BP1,GM-CSF,6.95510458946228,3.689371605570878
CD7+/HLA-DR-,pErk1/2,PMAIono,27.674396514892578,373.60679072010464
pDCs,pP38,Anthrax,20.68108558654785,165.82640698465207
CD11b-/CD16-,pCREB,IL-12,34.80886459350586,367.2542476609543
B Cells,pS6,Ebola VLPs,44.005553245544434,322.33109057925867
CD4+T cells,pCREB,LPS,17.93187665939331,75.39791162405884
pDCs,pS6,IFNa2,65.53089141845703,1040.0177936004388
Neutrophils,pSTAT5,IFNg,20.697006225585938,128.4084959612508
Neutrophils,pSTAT3,IL-2,58.2313232421875,3639.4664856684462
Basophils,pErk1/2,Anthrax,41.56228256225586,675.4389491158986
CD4+T cells,pSTAT3,CD40L,43.80740928649902,2429.1973621632246
Basophils,pP38,IL-4,10.792023181915283,37.732454603193894
CD16+/CD11b-,pErk1/2,IL-2,49.35787487030029,793.413265569792
CD8+T cells,pCREB,Basal,21.192028522491455,88.37577650903285
CD16+/CD11b+,pSTAT4,IL-4,17.658908367156982,134.65077359657144
pDCs,pPLCg2,PMAIono,11.04046368598938,45.42497229663813
CD16+/CD11b+,pSTAT3,IL-4,117.44693565368652,9364.730052511717
CD4+T cells,pP38,Ebola VLPs,13.642099142074585,51.47850074283875
CD7+/HLA-DR-,pSTAT5,IL-12,10.241390705108643,56.85730868727981
B Cells,pSTAT5,LPS,12.967015743255615,70.1100044925547
pDCs,pSTAT1,Ebola VLPs,17.61325740814209,246.71788994461167
CD11b-/CD16-,IkBa,TNFa,4.670064568519592,5.4842803902766395
Basophils,pCREB,IL-12,33.80520153045654,322.7106245852068
Neutrophils,pTBK1,Ebola VLPs,4.429081320762634,12.686858518308838
B Cells,Ki67,CD40L,17.395174026489258,91.13821305878326
CD11b+/CD16-,pSTAT4,IFNb,16.54478120803833,103.2996523720332
CD11b-/CD16-,p4E-BP1,LPS,38.631853103637695,214.61985560216763
CD4+/CD8+,p4E-BP1,IL-2,10.156198024749756,NaN
CD11b+/CD16-,p4E-BP1,PMAIono,27.383349418640137,104.93246315193197
CD1c+ B cells,pSTAT5,IFNb,36.427127838134766,NaN
CD4+T cells,pP38,Anthrax,14.308008432388306,57.445538382333766
Neutrophils,pSTAT3,TNFa,61.63887023925781,4019.0323201732017
CD8+T cells,pSTAT6,R848,4.075573801994324,10.52846531303095
CD7+/HLA-DR-,pCREB,IL-2,25.98091697692871,191.42007166284233
CD11b+/CD16-,pPLCg2,PMAIono,11.854886770248413,70.46594753325536
CD4+/CD8+,pSTAT5,LPS,18.726548194885254,NaN
B Cells,pErk1/2,CD40L,34.07217502593994,292.31303399744047
Neutrophils,pP38,PMAIono,13.165219068527222,50.36046726859891
CD1c+ B cells,pP38,IL-6,24.814419269561768,NaN
CD8+T cells,pSTAT6,IFNg,4.130511164665222,9.780013310259324
CD16+/CD11b-,pSTAT4,Basal,12.636526823043823,70.53015704514011
CD16+/CD11b-,pZap70/Syk,IFNb,6.2770644426345825,9.288791566376567
pDCs,pS6,Basal,65.98383712768555,1217.464974916584
CD16+/CD11b-,pSTAT6,IFNb,15.13129472732544,77.53588287525882
CD7+/HLA-DR-,pCREB,Anthrax,21.87469244003296,136.12146994308702
CD4+T cells,pP38,PMAIono,14.815421104431152,66.55834402647464
CD8+T cells,pSTAT4,IL-6,6.89899754524231,14.35138149892325
CD11b+/CD16-,pSTAT5,IL-6,20.384153366088867,236.29500351149048
CD11b-/CD16-,pP38,IFNg,20.632418632507324,129.6238094429858
CD4+T cells,p4E-BP1,IL-4,8.919437885284424,5.910039547616263
CD4+/CD8+,pSTAT3,Anthrax,99.61751937866211,NaN
Neutrophils,pSTAT6,IL-12,3.851274251937866,15.004951360144913
CD1c+ B cells,p4E-BP1,IFNb,33.557945251464844,NaN
CD11b-/CD16-,pCREB,Anthrax,37.74012470245361,406.46808974394634
CD4+T cells,pCREB,IFNg,18.483954906463623,74.79736591407618
Neutrophils,pErk1/2,LPS,89.89275550842285,2036.166181275077
CD4+T cells,pZap70/Syk,IL-6,4.67052698135376,1.8414417857192733
CD4+T cells,pSTAT6,IFNb,8.507719993591309,23.294314184897292
Basophils,pSTAT5,CD40L,25.480830192565918,164.07683341225444
B Cells,pP38,TNFa,17.333287239074707,79.40958075366399
CD11b-/CD16-,pSTAT1,PMAIono,32.26998710632324,561.2698462825505
CD16+/CD11b-,pZap70/Syk,Ebola VLPs,6.77223801612854,9.172847867744375
pDCs,pZap70/Syk,IL-4,4.865427017211914,5.5508405448867775
CD16+/CD11b+,pZap70/Syk,IFNg,6.928860664367676,14.062317693243173
CD4+/CD8+,pSTAT5,PMAIono,19.320618629455566,NaN
pDCs,pCREB,IL-2,25.858649730682373,193.028630805091
CD11b+/CD16-,pSTAT4,GM-CSF,16.39029884338379,91.45390241271907
CD7+/HLA-DR-,pSTAT4,TNFa,6.070422410964966,12.48425772822432
CD16+/CD11b+,pSTAT1,LPS,64.60245704650879,1533.4136399318872
B Cells,Ki67,IL-12,17.541991710662842,100.3553035772941
pDCs,IkBa,Ebola VLPs,10.085882186889648,31.06397459786649
CD8+T cells,p4E-BP1,IL-12,7.10900616645813,4.187000498734374
CD11b-/CD16-,pPLCg2,IL-6,9.867678165435791,31.57812272321925
Neutrophils,pErk1/2,Ebola VLPs,85.16348648071289,1622.3742603832873
CD11b+/CD16-,pSTAT6,Ebola VLPs,7.763621091842651,43.91099413301164
CD11b+/CD16-,pMAPKAPK2,Anthrax,16.74857807159424,51.20034332711199
CD7+/HLA-DR-,pZap70/Syk,IL-6,3.958112120628357,4.1355287493015584
CD8+T cells,pMAPKAPK2,IL-2,5.959476947784424,8.896033018111648
CD16+/CD11b-,pSTAT6,IFNg,8.919874429702759,40.368986214272496
Basophils,pPLCg2,Basal,6.748797655105591,11.283359485102055
CD11b-/CD16-,pErk1/2,IL-6,44.426937103271484,780.6099803294451
CD8+T cells,p4E-BP1,TNFa,6.962224841117859,3.918878429973568
Neutrophils,p4E-BP1,Ebola VLPs,6.6887654066085815,5.621572257024605
CD11b-/CD16-,pP38,TNFa,36.804171562194824,362.87952751383403
B Cells,pS6,TNFa,43.3006706237793,350.87960641320205
B Cells,p4E-BP1,IFNg,25.11008930206299,23.91887690652305
CD16+/CD11b-,pP38,R848,47.27860069274902,585.5562091574526
CD4+T cells,pPLCg2,IFNg,5.426478385925293,9.15683561440079
pDCs,IkBa,LPS,9.966126441955566,28.946381802857093
CD4+T cells,pS6,IL-6,46.25413417816162,463.60804613627715
CD16+/CD11b-,pZap70/Syk,IL-2,6.583746075630188,8.88429671197156
CD16+/CD11b-,pTBK1,IL-4,14.186351299285889,118.44993702017341
Basophils,pSTAT5,IFNg,32.32541465759277,162.29552486599738
CD11b+/CD16-,Ki67,TNFa,29.718251705169678,313.6873366556933
Basophils,pErk1/2,CD40L,31.299062728881836,524.436444243423
Basophils,pTBK1,TNFa,11.628887414932251,75.84702188985408
CD11b-/CD16-,Ki67,Anthrax,35.00637340545654,487.6824671712754
B Cells,pP38,IL-4,19.8113694190979,102.36363919463297
CD1c+ B cells,pSTAT3,IL-2,73.85914993286133,NaN
CD16+/CD11b+,pSTAT6,LPS,6.820302605628967,62.8368205810514
Neutrophils,pSTAT1,IL-6,29.309882164001465,341.07165435673323
CD16+/CD11b-,pS6,TNFa,72.7535285949707,1399.2341015164322
pDCs,Ki67,PMAIono,26.25259780883789,397.35980721053613
CD11b+/CD16-,IkBa,CD40L,8.05796480178833,19.06532784361374
CD8+T cells,pZap70/Syk,GM-CSF,4.3203853368759155,1.5209506289089414
CD16+/CD11b+,IkBa,LPS,5.151703834533691,6.84399762047279
CD11b-/CD16-,pSTAT3,Ebola VLPs,59.96560478210449,3203.7917840852524
CD8+T cells,pP38,TNFa,16.411267280578613,54.09758592352926
CD16+/CD11b-,pSTAT1,TNFa,49.282402992248535,839.2932434440695
CD1c+ B cells,pP38,TNFa,25.399654388427734,NaN
Basophils,pSTAT4,LPS,9.404308795928955,27.64473918537621
CD11b-/CD16-,p4E-BP1,Ebola VLPs,41.90050506591797,265.43175722728245
CD1c+ B cells,pSTAT5,IL-12,20.006738662719727,NaN
CD16+/CD11b-,p4E-BP1,IFNa2,19.691118717193604,68.42546972947164
CD16+/CD11b+,pS6,IL-4,83.97696304321289,2690.236706726833
CD1c+ B cells,pMAPKAPK2,Ebola VLPs,8.674112319946289,NaN
CD7+/HLA-DR-,pTBK1,TNFa,9.415038347244263,40.68434991293936
CD8+T cells,pZap70/Syk,R848,4.420837163925171,1.5871548515440737
CD7+/HLA-DR-,pPLCg2,IL-4,6.309743165969849,16.276125879957412
CD11b+/CD16-,pTBK1,IL-4,12.949745416641235,107.04734675495321
Neutrophils,pTBK1,Basal,4.547321319580078,19.548923235294723
Neutrophils,pErk1/2,TNFa,95.44602966308594,2030.1560685060674
Basophils,pSTAT1,R848,26.77633237838745,237.56319785902195
CD4+T cells,pCREB,Basal,18.37412738800049,73.08188422027175
CD8+T cells,pSTAT4,Basal,5.866525411605835,11.192724534153998
pDCs,pSTAT1,IL-12,16.25025177001953,215.76021118331923
CD16+/CD11b+,Ki67,IFNg,23.668193817138672,263.4397885502685
B Cells,pZap70/Syk,LPS,3.8299248218536377,3.8553991197250443
B Cells,pSTAT6,PMAIono,7.2875542640686035,22.64324553920413
CD11b+/CD16-,p4E-BP1,IL-12,31.39516544342041,138.01084631681778
CD16+/CD11b+,pTBK1,IL-4,14.772955417633057,189.59129648508363
Basophils,pErk1/2,Basal,28.968374729156494,384.07642623801723
CD4+T cells,pSTAT5,Anthrax,12.555113077163696,62.167573916095805
pDCs,pErk1/2,Anthrax,34.39838695526123,483.2821621548569
CD1c+ B cells,pSTAT5,IL-2,21.79564380645752,NaN
CD4+T cells,IkBa,IL-12,6.579233407974243,11.371470691425248
CD4+/CD8+,Ki67,IL-4,17.962345600128174,NaN
CD7+/HLA-DR-,pSTAT6,Anthrax,5.16662073135376,13.63463410731735
CD1c+ B cells,p4E-BP1,TNFa,34.632670402526855,NaN
CD4+/CD8+,pSTAT3,IL-2,101.94034957885742,NaN
B Cells,pSTAT5,Ebola VLPs,13.048617839813232,68.95694967809624
CD11b-/CD16-,pSTAT1,IL-4,27.48917531967163,386.47829361029085
CD8+T cells,pSTAT3,IL-6,53.17770862579346,2497.237075245053
Basophils,pSTAT1,GM-CSF,23.84038257598877,204.46784265151754
CD11b+/CD16-,pSTAT6,IFNb,17.465962409973145,125.97455546252694
CD4+/CD8+,pSTAT4,IFNa2,14.950966358184814,NaN
Neutrophils,pSTAT3,LPS,59.97136878967285,4490.559234953657
CD4+T cells,pSTAT3,R848,43.842735290527344,2391.603114314632
CD4+/CD8+,pSTAT6,IL-4,40.36917591094971,NaN
Basophils,p4E-BP1,IL-2,11.876612424850464,11.717015168226588
CD1c+ B cells,pCREB,PMAIono,51.75142192840576,NaN
CD4+/CD8+,Ki67,TNFa,18.03515625,NaN
CD16+/CD11b-,pErk1/2,IL-4,51.47778606414795,898.4105720134108
CD4+/CD8+,pSTAT3,R848,90.4654541015625,NaN
CD16+/CD11b-,Ki67,Ebola VLPs,18.90859603881836,179.96649127598243
CD4+/CD8+,p4E-BP1,CD40L,9.676565170288086,7.204932954227261
B Cells,pZap70/Syk,Basal,3.8289661407470703,3.4766186861295423
Basophils,pP38,Anthrax,13.591150045394897,63.26582758585874
CD8+T cells,pSTAT6,IFNa2,5.24001932144165,12.282290624780078
CD7+/HLA-DR-,pSTAT4,CD40L,6.273558020591736,12.924338227776257
CD4+T cells,pErk1/2,Ebola VLPs,27.373518466949463,216.00474593316065
Neutrophils,pS6,IFNg,49.120933532714844,665.1223435587015
CD1c+ B cells,pSTAT6,IFNa2,13.052329540252686,NaN
Neutrophils,pMAPKAPK2,IFNb,6.958250999450684,13.184172399553454
Neutrophils,Ki67,CD40L,9.900025367736816,49.64723707508778
CD8+T cells,pSTAT4,IFNb,21.21177053451538,82.23810030397925
